grna_target,artery_log_2_fold_change,pre-art_log_2_fold_change,artery_p_value,pre-art_p_value
Acvr2a,0.098786058,,3.05e-06,
Arid1b,,0.02528151,,0.002432419
Auts2,0.093783384,,0.00021452,
Ccm2,,-0.101305855,,3.86e-05
Ccnd1,0.151682225,0.08112189,6.38e-08,1.99e-07
Ccser1,,0.039526133,,0.000883238
Creb3l2,0.095919324,,4.61e-05,
Creb5,,0.0173525,,0.001956678
Crim1,0.145921161,0.10072231,1.14e-07,5.84e-09
Cxcl12,,-0.128220203,,2.84e-05
Egfl7,0.099048681,0.061742819,9.04e-06,1.65e-05
Eng,-0.599662107,-0.358601041,1.42e-28,5.15e-32
Epas1,0.043578744,0.014594022,0.001647957,0.003099837
Ets2,,0.05673488,,0.000480375
Flt1,0.078018578,,0.000676011,
Flt4,0.11245605,,0.001075776,
Fzd4,0.053038447,,0.000674044,
Fzd6,,0.058425457,,0.000157984
Gata2,,0.085912543,,8.24e-05
Gjc1,0.052591541,,0.001617788,
Gng12,0.104187154,,0.000332116,
Hsp90ab1,0.081876727,0.101061911,0.000622256,2.28e-07
Id1,,-0.133108088,,6.71e-05
Idh2,0.152598869,0.077015178,1.5e-07,1.2e-05
Igf1r,0.061319656,,0.002828113,
Itgav,0.070470423,,0.00152641,
Itgb1,,-0.140731955,,0.002064914
Klf12,-0.171256082,,0.000110798,
Klf2,0.087570531,,0.000876567,
Mdh2,,0.046793525,,0.000365058
Mxi1,0.036428852,,0.00073109,
Ncl,0.050826288,,0.002446979,
Ncoa1,0.108541904,,9.48e-05,
Ncoa3,0.042791884,,0.000569992,
Nfib,0.06750815,,0.000757509,
Nos3,,0.036970661,,0.001744175
Nr3c1,0.054363417,,0.00078213,
Nrp2,0.070723307,0.049394073,0.000411326,0.000942165
Ogdh,,0.078265678,,3.08e-06
Plagl1,0.076180986,,0.000823164,
Prdm16,0.049033548,0.071768158,0.000662273,1.03e-08
Slc6a6,,-0.161498141,,8.07e-06
Smad4,-0.329527575,-0.227545534,6.61e-08,2.3e-15
Sox5,,0.053853475,,0.000581382
Taz,0.059743227,0.038678115,7.68e-05,0.003940105
Tek,,0.05787916,,2.95e-06
Tfdp1,0.077230378,0.115682715,0.000876031,1.2e-06
Tgfbr1,-0.268498984,-0.212138886,2.37e-17,5.18e-28
Tgfbr2,-0.181086181,-0.153307373,7.43e-05,1.27e-05
Zfhx3,,0.088507994,,0.001352126
